id,Name
N8,Mo Chit
N7,Saphan Khwai
N5,Ari
N4,Sanam Pao
N3,Victory Monument
N2,Phaya Thai
N1,Ratchathewi
CEN,Siam
E1,Chit Lom
E2,Phloen Chit
E3,Nana
E4,Asok
E5,Phrom Phong
E6,Thong Lo
E7,Ekkamai
E8,Phra Khanong
E9,On Nut
E10,Bang Chak
E11,Punnawithi
E12,Udom Suk
E13,Bang Na
E14,Bearing
E15,Samrong
E16,Pu Chao
E17,Chang Erawan
E18,Royal Thai Naval Academy
E19,Pak Nam
E20,Srinagarindra
E21,Phraek Sa
E22,Sai Luat
E23,Kheha
W1,National Stadium
S1,Ratchadamri
S2,Sala Daeng
S3,Chong Nonsi
S5,Surasak
S6,Saphan Taksin
S7,Krung Thonburi
S8,Wongwian Yai
S9,Pho Nimit
S10,Talat Phlu
S11,Wutthakat
S12,Bang Wa